id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel
300,N(-C)-C-C-C(-C1=C=C2=C(-C=C)=C=C=N=C=2=N=1)=C-C,18,19,148,13.615456,4,1.6460905
301,N(-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3-N-C)=C=2=C=1-C)=C)-C,24,26,124,11.407544,4,1.6460905
302,N(-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3-N)=C=2=C=1-C)=C)-C,23,25,125,11.49954,4,1.6460905
303,N(-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C-N-C)=C=2=C=1-C)=C)-C,23,24,128,11.775529,4,1.6460905
304,N(-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C-N)=C=2=C=1-C)=C)-C,22,23,129,11.867525,4,1.6460905
305,N(-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3)=C=2=C=1-C)=C)-C,22,24,137,12.603496,4,1.6460905
306,N(-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C)=C=2=C=1-C)=C)-C,21,22,141,12.971481,4,1.6460905
307,N(-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3-N-C)=C=2=C=1)=C)-C,23,25,125,11.49954,4,1.6460905
308,N(-C-C-C(-C1=N=C2=N=C=C=C(-C(=C=C=C)=C-N-C)=C=2=C=1)=C)-C,22,23,129,11.867525,4,1.6460905
309,N(-C)-C-C-C(-C1=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=2=N=1)=C,21,23,188,17.29531,4,1.6460905
310,N(-C)-C-C-C(-C1=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=2=N=1)=C,20,21,192,17.663294,4,1.6460905
311,N(-C)-C-C-C(-C1=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=2=N=1)=C,20,21,192,17.663294,4,1.6460905
312,N(-C)-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C=C=C=C)=C=C=N=2)=C,20,21,194,17.847286,4,1.6460905
313,N(-C)-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C=C=C)=C=C=N=2)=C,19,20,198,18.215271,4,1.6460905
314,N(-C)-C-C-C(-C1=N=C2=C(=C=1)=C(-C=C)=C=C=N=2)=C,17,18,208,19.135235,4,1.6460905
315,N(-C-C-C-C1=N=C2=C(=C=1)=C(-C(=C)=N=C(-N)=C)=C=C=N=2)-C,20,21,110,10.119596,3,1.2345679
316,N(-C-C=C(-C-C)-C1=C=C2=C(-C3=C=C=C=C=C=3)=C=C=N=C=2=N=1)-C,22,24,136,12.511499,4,1.6460905
317,N(-C-C=C(-C-C)-C1=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=2=N=1)-C,21,22,138,12.695492,4,1.6460905
318,N(-C-C=C(-C-C)-C1=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=2=N=1)-C,21,22,138,12.695492,4,1.6460905
319,N(-C-C=C(-C-C)-C1=C=C2=C(-C=C)=C=C=N=C=2=N=1)-C,18,19,144,13.24747,4,1.6460905
320,N(-C-C=C(-C)-C=C)-C,8,7,203,18.675253,4,1.6460905
321,N(-C-C=C-C=C=C=C=N=C)-C,11,10,204,18.76725,4,1.6460905
322,N(-C1=N=C(-C=C=C=C)=C=C=N=1)-C,12,12,109,10.027599,3,1.2345679
323,N(-C1=N=C(-C=C=C)=C=C=N=1)-C,11,11,110,10.119596,4,1.6460905
324,N(-C(=N=C-C=C=C=C=C)=N=C)-C,12,11,114,10.48758,3,1.2345679
325,N(-C(=N=C-C=C=C=C)=N=C)-C,11,10,115,10.5795765,3,1.2345679
326,N(-C(=N=C-C=C=C)=N=C)-C,10,9,116,10.671573,4,1.6460905
327,N(-C(=N=C(-C1=C2=C=C(-C(-C-C)-C)=N=C=2=N=C=C=1)=C)=C)-C,20,21,117,10.76357,4,1.6460905
328,N(-C(=N=C(-C1=C2=C=C(-C-C-C-N)=N=C=2=N=C=C=1)=C)=C)-C,20,21,110,10.119596,2,0.82304525
329,N(-C=N=C(-C(=C=C=N=C)=C)=C=C)-C,13,12,110,10.119596,4,1.6460905
330,N(-C=N=C(-C(=C=C=C(-C(-C)-C)=N)=C=C)=C)-C,16,15,118,10.855566,4,1.6460905
331,N(-C=N=C=C=C-C=C=C=C=C)-C,12,11,115,10.5795765,3,1.2345679
332,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C-N)=C-C)=C(-C)=C=3=2)=C=C=C=C=1,24,26,124,11.407544,4,1.6460905
333,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C(-C)=C=3=2)=C=C=C=C=1,23,25,149,13.707452,4,1.6460905
334,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C(-C)=C=3=2)=C=C=C=C=1,22,24,158,14.5354185,4,1.6460905
335,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C-N)=C-C)=C=C=3=2)=C=C=C=C=1,23,25,125,11.49954,4,1.6460905
336,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C=C=3=2)=C=C=C=C=1,22,24,150,13.799448,4,1.6460905
337,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C=C=3=2)=C=C=C=C=1,21,23,159,14.627415,4,1.6460905
338,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C-N)=C-C)=C(-C)=C=2=1)=C=C=C,23,24,128,11.775529,4,1.6460905
339,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C)=C-C)=C(-C)=C=2=1)=C=C=C,22,23,153,14.075437,4,1.6460905
