id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel,is_valid
211,N(-C)(-C)-C=C(-C1=C=C=N=C2=N=C(-C3-C-C-N-C-C=3)=C=C=2=1)=C=C=C,23,25,122,11.223551,4,1.6460905,False
212,N(-C)(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C-N)=C-C)=C=C=2=1)=C=C=C,23,24,128,11.775529,4,1.6460905,False
213,N(-C)(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C)=C-C)=C=C=2=1)=C=C=C,22,23,153,14.075437,4,1.6460905,False
214,N(-C)(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C-N-C)=C)=C=C=2=1)=C=C=C,23,24,128,11.775529,4,1.6460905,False
215,N(-C)(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C)=C-C)=C=C=2=1)=C=C=C,21,22,162,14.903404,4,1.6460905,False
220,N1-C-C-C(-C2=N=C3=N=C=C=C4-C5=C=C=C=C=C=5-N-C-C=2=C=4=3)=C-C-1,23,27,115,10.5795765,4,1.6460905,False
221,N1-C-C-C(-C2=N=C3=N=C=C=C4-C(=C=C=C)=C-N-C-C=2=C=4=3)=C-C-1,22,25,119,10.947562,4,1.6460905,False
222,N1-C-C-C(-C2=N=C3=N=C=C=C(-C4=C=C=C=C=C=4-N-C)=C=3=C=2-C)=C-C-1,24,27,118,10.855566,4,1.6460905,False
223,N1-C-C-C(-C2=N=C3=N=C=C=C(-C4=C=C=C=C=C=4-N)=C=3=C=2-C)=C-C-1,23,26,119,10.947562,4,1.6460905,False
224,N1-C-C-C(-C2=N=C3=N=C=C=C(-C(=C=C=C)=C-N-C)=C=3=C=2-C)=C-C-1,23,25,122,11.223551,4,1.6460905,False
225,N1-C-C-C(-C2=N=C3=N=C=C=C(-C(=C=C=C)=C-N)=C=3=C=2-C)=C-C-1,22,24,123,11.315547,4,1.6460905,False
226,N1-C-C-C(-C2=N=C3=N=C=C=C(-C4=C=C=C=C=C=4)=C=3=C=2-C)=C-C-1,22,25,131,12.0515175,4,1.6460905,False
227,N1-C-C-C(-C2=N=C3=N=C=C=C(-C(=C=C=C)=C)=C=3=C=2-C)=C-C-1,21,23,135,12.419503,4,1.6460905,False
